요구사항 ID,요구사항 설명,설계 섹션/아티팩트,테스트 케이스 ID,상태,비고
REQ-001,코드 기본값 목록 조회,§8.1 API CB001,TC-API-001,초안,
REQ-002,코드 기본값 상세 조회,§8.2 API CB002,TC-API-002,초안,
REQ-003,코드 기본값 생성,§8.3 API CB003,TC-API-003,초안,
REQ-004,코드 기본값 수정,§8.4 API CB004,TC-API-004,초안,선분 이력 포함
REQ-005,코드 기본값 삭제,§8.5 API CB005,TC-API-005,초안,논리적 삭제
REQ-006,다국어 지원,§7 데이터 구조,TC-FUNC-001,초안,ALTER_CODE_NAME 1~5
REQ-007,정렬 순서 관리,§7 데이터 구조,TC-FUNC-002,초안,SORT_ORDER
REQ-008,코드 정의 검증,§5.1 프로세스 단계 6,TC-VAL-001,초안,Normal/RegEx
NFR-001,성능 요구사항,§11 성능 및 확장성,TC-PERF-001,초안,< 1초
NFR-002,보안 요구사항,§10 보안 고려,TC-SEC-001,초안,Parameterized Query
