요구사항 ID,요구사항 설명,설계 섹션/아티팩트,테스트 케이스 ID,구현 파일,상태,비고
REQ-001,코드 카테고리 정의와 코드 기본값 일치성 검증,§5 프로세스 흐름 / §8 API 계약,TC-API-001,routes/codeBase.js,초안,CB006 API
REQ-002,Normal 타입: 콤마 구분 값 목록과 코드값 일치 검증,§5.1 검증 로직 / §7 데이터 구조,TC-API-002,services/codeBase.service.js::validateNormalType(),초안,콤마 파싱 로직
REQ-003,RegEx 타입: 정규식 패턴과 코드값 일치 검증,§5.1 검증 로직 / §7 데이터 구조,TC-API-003,services/codeBase.service.js::validateRegExType(),초안,정규식 매칭
REQ-004,중복 코드 검증 (동일 MARU_ID 내),§5.1 검증 로직,TC-API-004,services/codeBase.service.js::checkDuplicateCodes(),초안,GROUP BY 쿼리
REQ-005,검증 결과 리포트 생성 (유효/무효 코드 목록),§7.2 출력 데이터 / §8 API 응답,TC-API-005,services/codeBase.service.js::generateValidationReport(),초안,리포트 생성
REQ-006,Nexacro Dataset XML 형식 응답,§7.2 출력 데이터 / §8 API 응답,TC-API-006,utils/nexacroHelper.js::createNexacroResponse(),초안,XML 변환
REQ-007,선분 이력 모델 기반 최신 유효 데이터 검증,§4 시스템 개요 / §5 프로세스,TC-API-007,services/codeBase.service.js::getLatestData(),초안,END_DATE 필터
REQ-NF-001,성능: 1000개 코드 검증 시 5초 이내 응답,§11 성능 및 확장성,TC-PERF-001,전체 API 스택,초안,성능 테스트 필요
REQ-NF-002,안정성: 잘못된 정규식 처리 시 에러 복구,§9 오류/예외/경계조건,TC-ERR-001,services/codeBase.service.js::validateRegExType(),초안,try-catch 처리
REQ-NF-003,보안: SQL Injection 방지 (Parameterized Query),§10 보안/품질 고려,TC-SEC-001,models/codeBase.model.js,초안,knex.js 사용
